Date,Carnation,Normandy Park,Sammamish,Covington,Kent,Issaquah,Renton,Bothell,Kirkland,Federal Way,Shoreline,SeaTac,Beaux Arts Village,Medina,Algona,Black Diamond,Newcastle,Snoqualmie,Yarrow Point,Milton,Duvall,Enumclaw,North Bend,Burien  ,Tukwila,Lake Forest Park,Clyde Hill,Mercer Island,Bellevue,Woodinville,Redmond,Hunts Point,Maple Valley,Kenmore,Pacific,Auburn,Skykomish,Des Moines,Seattle
2017-09-25,0,0,5,5,65,10,50,12,35,51,29,32,0,1,0,0,1,1,0,1,1,3,1,8,36,1,0,8,63,4,26,0,4,6,3,24,0,14,266
2017-10-02,0,0,4,11,66,14,60,17,30,47,18,24,0,0,0,2,1,2,0,0,0,0,0,11,43,5,0,8,73,2,15,0,6,5,2,37,0,5,269
2017-10-09,0,0,5,7,85,19,50,9,32,57,11,38,0,0,0,1,1,1,0,0,1,2,2,10,36,6,0,5,74,8,27,0,3,3,2,39,0,6,273
2017-10-16,0,0,8,12,85,17,62,7,25,65,14,43,0,0,0,1,1,1,0,2,0,3,2,27,49,2,0,11,92,10,34,0,4,5,3,56,0,5,339
2017-10-23,1,2,8,7,64,8,50,15,35,44,18,23,0,0,2,1,1,1,0,3,0,3,4,9,38,2,0,8,53,0,15,0,3,3,1,34,0,6,237
2017-10-30,0,1,4,11,76,10,65,12,28,57,23,30,0,0,2,0,2,3,0,3,0,6,0,19,39,4,0,7,83,7,16,0,9,11,3,42,0,4,278
2017-11-06,0,0,4,8,75,9,57,20,37,51,16,28,0,1,0,2,2,2,1,0,0,0,0,17,54,5,0,4,88,3,20,0,8,4,2,43,0,6,298
2017-11-13,1,2,3,12,86,13,30,10,30,55,20,32,0,1,1,0,2,2,0,0,0,6,0,17,49,2,0,6,87,5,22,0,6,5,2,49,0,6,257
2017-11-20,0,2,4,4,68,14,53,11,28,43,17,30,0,0,1,3,6,1,0,0,0,0,1,16,54,5,0,9,73,5,19,0,3,4,3,42,0,4,287
2017-11-27,0,3,12,6,79,15,55,11,28,51,21,34,0,0,0,2,3,1,2,1,3,4,0,16,39,4,1,6,83,9,21,0,6,4,3,37,0,11,294
